Functionality Matrix Reference,Application Requirements / Use Case,Module,Requirement Description,Source Code / Path,Unit/Module Test Case ID,Release Details,UAT Status,Defect ID,Defect Status,Remarks,,,,,,,,,
,,USER,Allow the user to return a product once with valid reason,,TC-U113,Release v1.0,Pending,N/A,Open,"Priority: High, Severity: Major, TS-U08: Validate the conditional return process, TC Desc: Confirm that blacklisted user cannot submit future return requests",,,,,,,,,
,,USER,Allow the user to return a product once with valid reason,,TC-U114,Release v1.0,Pending,N/A,Open,"Priority: High, Severity: Major, TS-U08: Validate the conditional return process, TC Desc: Notify admin and user about blacklisting status",,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
